Locust.Heatmap -> http://localhost:5000
Locust.WorldSim -> http://localhost:5100
Locust.SensorSimulator001 -> http://localhost:5200
Querying regional heatmap at 128x128 around the WorldSim box...
23:53:01 frame  130 -> media/heatmap-live.png
23:53:02 frame  131 -> media/heatmap-live.png
23:53:03 frame  132 -> media/heatmap-live.png
23:53:04 frame  133 -> media/heatmap-live.png
23:53:05 frame  134 -> media/heatmap-live.png
23:53:07 frame  135 -> media/heatmap-live.png
23:53:08 frame  136 -> media/heatmap-live.png
23:53:09 frame  137 -> media/heatmap-live.png
23:53:10 frame  138 -> media/heatmap-live.png
23:53:11 frame  139 -> media/heatmap-live.png
23:53:12 frame  140 -> media/heatmap-live.png
23:53:13 frame  141 -> media/heatmap-live.png
23:53:14 frame  142 -> media/heatmap-live.png
23:53:15 frame  143 -> media/heatmap-live.png
23:53:16 frame  144 -> media/heatmap-live.png
23:53:17 frame  145 -> media/heatmap-live.png
23:53:18 frame  146 -> media/heatmap-live.png
23:53:19 frame  147 -> media/heatmap-live.png
23:53:20 frame  148 -> media/heatmap-live.png
23:53:21 frame  149 -> media/heatmap-live.png
23:53:22 frame  150 -> media/heatmap-live.png
23:53:24 frame  151 -> media/heatmap-live.png
